condition,category,n,em,f1,malformed_count,malformed_rate,delta_em_vs_baseline,delta_f1_vs_baseline
base_qwen_tiser_test224,overlap_while_during,23,0.782608695652174,0.782608695652174,0,0.0,0.13043478260869568,0.0879446640316206
base_qwen_tiser_test224,tennis_injury_or_medical,1,0.0,0.0,0,0.0,0.0,0.0
base_qwen_tiser_test224,tournament_round_sequence,4,0.5,0.5416666666666667,0,0.0,0.0,0.0
base_qwen_tiser_test224,which_first_last,47,0.1276595744680851,0.1621580547112462,0,0.0,-0.04255319148936171,-0.11313882890854107
base_qwen_tiser_test224,yes_no_before_after,78,0.5641025641025641,0.5641025641025641,5,0.0641025641025641,-0.02564102564102566,-0.02564102564102566
tennis_only_full600_fulltest,duration_minutes,3,0.3333333333333333,0.3333333333333333,0,0.0,-0.01149425287356326,-0.01149425287356326
tennis_only_full600_fulltest,immediate_before_after,3,0.3333333333333333,0.6296296296296297,0,0.0,0.23076923076923075,0.1876631161699035
tennis_only_full600_fulltest,overlap_while_during,4,0.75,0.75,0,0.0,0.09782608695652173,0.055335968379446654
tennis_only_full600_fulltest,which_first_last,4,0.5,0.5,0,0.0,0.32978723404255317,0.22470311638021273
tennis_only_full600_fulltest,yes_no_before_after,6,0.3333333333333333,0.3333333333333333,0,0.0,-0.25641025641025644,-0.25641025641025644
tennis_only_full600_smoke_100,duration_minutes,15,0.26666666666666666,0.26666666666666666,0,0.0,-0.07816091954022991,-0.07816091954022991
tennis_only_full600_smoke_100,immediate_before_after,15,0.3333333333333333,0.5513671513671513,0,0.0,0.23076923076923075,0.10940063790742516
tennis_only_full600_smoke_100,other_temporal,1,1.0,1.0,0,0.0,1.0,0.5555555555555556
tennis_only_full600_smoke_100,overlap_while_during,7,0.8571428571428571,0.8571428571428571,0,0.0,0.20496894409937882,0.16247882552230375
tennis_only_full600_smoke_100,tournament_round_sequence,3,0.6666666666666666,0.7619047619047619,0,0.0,0.16666666666666663,0.22023809523809512
tennis_only_full600_smoke_100,which_first_last,15,0.4,0.46814814814814815,0,0.0,0.22978723404255322,0.19285126452836088
tennis_only_full600_smoke_100,yes_no_before_after,44,0.5227272727272727,0.5227272727272727,0,0.0,-0.06701631701631705,-0.06701631701631705
